video_title,views,channel_name,channel_subscribers,likes,video_duration_minutes
cute_cats_compilation_001,50000,PetChannel,100000,2500,93
gaming_highlights_001,120000,GamersHub,250000,8000,99
python_tutorial_basics,15000,TechLearn,50000,800,28
morning_vlog_ep_42,85000,DailyVlogs,180000,5200,6
cooking_pasta_recipe,32000,FoodArt,75000,1800,65
fitness_workout_30min,95000,FitLife,220000,6500,55
travel_japan_part1,110000,WanderlustTV,310000,7200,50
music_lo_fi_beats,200000,ChillVibes,500000,12000,111
news_daily_briefing,45000,NewsNow,120000,2200,56
movie_review_latest,28000,CinemaChat,65000,1500,163
diy_home_decor_tips,38000,DIYMasters,95000,2100,115
soccer_highlights_2025,180000,SportsZone,400000,15000,39
language_learning_spanish,22000,PolyglotPath,55000,900,133
gaming_new_release_review,95000,GamersHub,250000,6200,115
yoga_morning_routine,55000,WellnessFlow,140000,3500,68
cooking_thai_food,42000,FoodArt,75000,2300,143
tech_gadget_unboxing,73000,TechReview,190000,4800,31
anime_episode_discussion,65000,AnimeLounge,155000,4200,34
pets_cute_moments,78000,PetChannel,100000,5100,191
photography_tips_landscapes,35000,PhotoPro,85000,1700,120
fitness_strength_training,102000,FitLife,220000,7200,73
music_guitar_tutorial,48000,MusicSchool,110000,2800,121
business_startup_advice,33000,EntrepreneursHub,80000,1600,33
travel_budget_tips,51000,WanderlustTV,310000,3200,111
nature_wildlife_documentary,128000,NatureWild,280000,9500,141
english_grammar_lesson,19000,LanguagePro,45000,750,76
gaming_speedrun_challenge,87000,GamersHub,250000,5800,163
cooking_vegan_recipes,45000,FoodArt,75000,2600,106
motivation_morning_message,72000,DailyInspo,165000,4500,145
photography_portrait_basics,29000,PhotoPro,85000,1200,90
fitness_hiit_workout,78000,FitLife,220000,5500,15
music_production_tutorial,41000,BeatsStudio,98000,2400,189
business_marketing_strategy,37000,EntrepreneursHub,80000,1800,166
travel_packing_guide,43000,WanderlustTV,310000,2800,192
nature_garden_tour,64000,GreenThumb,145000,3800,90
anime_manga_comparison,58000,AnimeLounge,155000,3500,30
pets_training_tips,69000,PetChannel,100000,4200,89
photography_lighting_setup,52000,PhotoPro,85000,2900,148
gaming_esports_tournament,142000,EsportsDaily,350000,11200,198
cooking_dessert_special,53000,FoodArt,75000,3100,43
fitness_flexibility_routine,66000,FitLife,220000,4200,54
music_vocal_lessons,37000,MusicSchool,110000,2100,83
business_financial_planning,31000,EntrepreneursHub,80000,1400,94
travel_local_experience,48000,WanderlustTV,310000,3000,33
nature_plant_care_tips,47000,GreenThumb,145000,2700,136
anime_new_season_review,52000,AnimeLounge,155000,3200,102
pets_funny_moments_compilation,91000,PetChannel,100000,6200,114
photography_editing_tutorial,44000,PhotoPro,85000,2500,193
gaming_casual_gameplay,68000,GamersHub,250000,4100,12
cooking_quick_recipes_weeknight,39000,FoodArt,75000,2000,31
fitness_recovery_stretching,53000,FitLife,220000,3500,71
music_instrument_review,36000,MusicGear,88000,2000,46
business_networking_tips,29000,EntrepreneursHub,80000,1300,90
travel_accommodation_review,35000,WanderlustTV,310000,2100,38
nature_seasonal_changes,58000,NatureWild,280000,3600,90
anime_character_analysis,49000,AnimeLounge,155000,3000,15
pets_health_tips,73000,PetChannel,100000,4800,48
photography_smartphone_tips,31000,PhotoMobile,72000,1400,34
gaming_retro_classics,74000,RetroGames,165000,5200,165
cooking_cultural_fusion,46000,FoodArt,75000,2700,111
fitness_nutrition_guide,61000,FitLife,220000,4000,88
music_trending_songs_analysis,43000,MusicTrends,105000,2600,13
business_branding_strategy,34000,EntrepreneursHub,80000,1600,90
travel_visa_information,27000,TravelAdvice,65000,1200,138
nature_bird_watching_guide,52000,BirdWatchers,120000,3000,107
anime_crossover_fanart,41000,AnimeArt,98000,2800,118
pets_adoption_journey,85000,PetRescue,175000,5800,139
photography_composition_rules,48000,PhotoPro,85000,2700,114
gaming_story_analysis,56000,GameStories,135000,3800,106
cooking_meal_prep_tips,52000,FoodArt,75000,3000,194
fitness_cardio_workouts,71000,FitLife,220000,5000,199
music_jazz_introduction,32000,JazzLounge,78000,1800,59
business_sales_technique,28000,SalesHub,70000,1200,48
travel_road_trip_planning,44000,WanderlustTV,310000,2600,149
nature_ecosystem_documentary,99000,NatureWild,280000,7200,116
anime_voice_acting_discussion,39000,AnimeVoice,92000,2400,15
pets_breed_spotlight,58000,PetChannel,100000,3800,121
photography_macro_techniques,37000,PhotoPro,85000,2000,39
gaming_lore_deep_dive,61000,GameLore,148000,4200,44
cooking_street_food_series,49000,StreetFood,110000,2900,7
fitness_home_workout_equipment,67000,FitHome,158000,4600,168
music_producer_interview,38000,MusicIndustry,88000,2200,188
business_startup_funding,30000,EntrepreneursHub,80000,1400,48
travel_safety_tips,33000,TravelSafe,75000,1500,14
nature_weather_science,46000,ScienceToday,110000,2500,154
anime_studio_spotlight,51000,AnimeStudios,120000,3100,63
pets_senior_care,62000,PetCare,135000,4100,122
photography_event_coverage,55000,EventPhotography,130000,3500,157
gaming_indie_showcase,52000,IndieGames,125000,3500,10
cooking_diet_friendly_meals,41000,HealthyEating,95000,2200,154
fitness_posture_correction,59000,FitLife,220000,3900,141
music_cover_performance,44000,MusicCovers,104000,2800,102
business_time_management,26000,ProductivityTips,62000,1100,157
travel_language_learning,40000,TravelLanguage,85000,2300,102
nature_conservation_efforts,68000,EcoWarriors,155000,4500,80
